id,host_id,district,neighbourhood,latitude,longitude,room_type,price,min_stay,reviews,last_review,reviews_per_month,host_listings
21722004,158023606,Eixample,la Dreta de l'Eixample,41.38833,2.16558,Entire home/apt,314,1,75,2019-06-13,1.46,128
21722008,158023606,Sants-Montjuïc,Hostafrancs,41.37563,2.14596,Entire home/apt,140,1,29,2019-10-24,2.24,128
21722021,158023606,Sants-Montjuïc,Hostafrancs,41.37551,2.14452,Entire home/apt,140,1,37,2019-10-01,1.8,128
21722033,158023606,Eixample,la Dreta de l'Eixample,41.39088,2.16511,Entire home/apt,274,1,39,2019-10-12,0.92,128
21722081,158023606,Sant Martí,el Camp de l'Arpa del Clot,41.41131,2.17741,Entire home/apt,145,1,75,2019-10-13,3.18,128
21722084,158023606,Sants-Montjuïc,Sants - Badal,41.37279,2.128,Entire home/apt,124,1,17,2019-09-15,1.08,128
21722085,158023606,Sants-Montjuïc,Sants - Badal,41.37209,2.12793,Entire home/apt,125,1,38,2019-10-22,2.38,128
21722086,158023606,Eixample,la Dreta de l'Eixample,41.39133,2.16976,Entire home/apt,208,1,56,2019-05-23,2.38,128
21722097,158023606,Ciutat Vella,el Barri Gòtic,41.37872,2.17676,Entire home/apt,289,1,60,2019-09-25,1.17,128
21722104,158023606,Eixample,l'Antiga Esquerra de l'Eixample,41.39084,2.15815,Entire home/apt,88,1,2,2018-11-05,0.07,128
21722115,158023606,Eixample,la Dreta de l'Eixample,41.39654,2.16633,Entire home/apt,100,1,1,2017-09-16,0.04,128
21722132,158023606,Eixample,la Dreta de l'Eixample,41.39339,2.1583,Entire home/apt,172,1,19,2019-04-29,0.89,128
21722138,158023606,Eixample,l'Antiga Esquerra de l'Eixample,41.39394,2.15521,Entire home/apt,172,1,40,2019-10-13,0.99,128
21722153,158023606,Sants-Montjuïc,Hostafrancs,41.37637,2.14391,Entire home/apt,148,1,45,2019-10-26,2.15,128
21722158,158023606,Sants-Montjuïc,Hostafrancs,41.37616,2.14118,Entire home/apt,147,1,32,2019-08-30,2.82,128
21723385,157250994,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,41.40576,2.13122,Entire home/apt,88,3,0,NA,NA,69
